bom_id,bom_version,parent_type,parent_id,parent_code,child_type,child_id,child_code,child_name,relationship_type,sequence,line_number,quantity,unit,child_quantity,child_unit,base_quantity,effective_date,expiry_date,bom_category,assembly_set,issue_method,scrap_rate,created_by,created_date,status,alt_priority,alt_group_no,parent_material_code
BOM000001,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,Standard,1,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000002,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0002,ASSY-FC-BASIC,基础飞控总成,Standard,2,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000003,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,Standard,3,30,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000004,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0004,ASSY-PWR-STD,标准动力系统总成,Standard,4,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000005,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0005,PART-BAT-2S-3000,标准智能电池2S3000mAh,Standard,5,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000006,V2.0,Product,P0001,UAV-XF-BASIC,Material,M0006,PART-RC-BASIC,基础遥控器,Standard,6,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-BASIC
BOM000007,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,Standard,7,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000008,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0002,ASSY-FC-BASIC,基础飞控总成,Standard,8,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000009,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0007,PART-CAM-FIX-20MP,2000万像素固定相机,Standard,9,30,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000010,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0004,ASSY-PWR-STD,标准动力系统总成,Standard,10,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000011,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,Standard,11,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000012,V1.0,Product,P0002,UAV-XF-BASIC-PLUS,Material,M0009,PART-RC-ADV,高级遥控器,Standard,12,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-BASIC-PLUS
BOM000013,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,Standard,13,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000014,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0011,ASSY-FC-ADV,高级飞控总成,Standard,14,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000015,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0012,PART-CAM-GIMBAL-1INCH,1英寸三轴云台相机,Standard,15,30,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000016,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,Standard,16,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000017,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,Standard,17,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000018,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0015,PART-RC-PRO,专业遥控器,Standard,18,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000019,V1.0,Product,P0003,UAV-XF-PRO-A,Material,M0016,PART-AVOID-VISION,视觉避障系统,Standard,19,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.02,System,2024-01-01,Active,0,,UAV-XF-PRO-A
BOM000020,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,Standard,20,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000021,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0011,ASSY-FC-ADV,高级飞控总成,Standard,21,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000022,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0017,PART-CAM-ZOOM,变焦相机模组,Standard,22,30,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000023,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,Standard,23,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000024,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,Standard,24,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000025,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0015,PART-RC-PRO,专业遥控器,Standard,25,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000026,V1.1,Product,P0004,UAV-XF-PRO-B,Material,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,Standard,26,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-PRO-B
BOM000027,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,Standard,27,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000028,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0011,ASSY-FC-ADV,高级飞控总成,Standard,28,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000029,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0019,VIRT-CAM-SEL,相机配置选择件,Standard,29,30,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000030,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,Standard,30,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000031,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,Standard,31,50,1.0,块,1.0,块,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000032,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0015,PART-RC-PRO,专业遥控器,Standard,32,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000033,V1.0,Product,P0005,UAV-XF-PRO-C,Material,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,Standard,33,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-XF-PRO-C
BOM000034,V2.0,Material,M0019,VIRT-CAM-SEL,Material,M0012,PART-CAM-GIMBAL-1INCH,1英寸三轴云台相机,Standard,34,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Consumer,是,按订单发料,0.01,System,2024-01-01,Active,0,,VIRT-CAM-SEL
BOM000035,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,Standard,35,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000036,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,Standard,36,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000037,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0022,PART-CAM-FPV,FPV图传相机,Standard,37,30,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,否,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000038,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,Standard,38,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000039,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0024,ASSY-BAT-DUAL,双电池冗余系统,Standard,39,50,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000040,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0025,PART-RC-IND,工业遥控器,Standard,40,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000041,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0026,PART-SPRAYER-16L,16升智能喷洒系统,Standard,41,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000042,V1.0,Product,P0006,UAV-JF-ENT-AG,Material,M0027,PART-RADAR-ALT,雷达测高仪,Standard,42,80,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-JF-ENT-AG
BOM000043,V1.1,Product,P0007,UAV-JF-ENT-SV,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,Standard,43,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-SV
BOM000044,V1.1,Product,P0007,UAV-JF-ENT-SV,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,Standard,44,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-SV
BOM000045,V1.1,Product,P0007,UAV-JF-ENT-SV,Material,M0028,PART-CAM-SURVEY-42MP,4200万像素测绘相机,Standard,45,30,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-JF-ENT-SV
BOM000046,V1.1,Product,P0007,UAV-JF-ENT-SV,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,Standard,46,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-SV
BOM000047,V1.1,Product,P0007,UAV-JF-ENT-SV,Material,M0024,ASSY-BAT-DUAL,双电池冗余系统,Standard,47,50,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-SV
BOM000048,V1.1,Product,P0007,UAV-JF-ENT-SV,Material,M0025,PART-RC-IND,工业遥控器,Standard,48,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-JF-ENT-SV
BOM000049,V1.1,Product,P0007,UAV-JF-ENT-SV,Material,M0029,PART-LIDAR,激光雷达模块,Standard,49,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.02,System,2024-01-01,Active,0,,UAV-JF-ENT-SV
BOM000050,V1.0,Product,P0008,UAV-JF-ENT-SC,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,Standard,50,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-SC
BOM000051,V1.0,Product,P0008,UAV-JF-ENT-SC,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,Standard,51,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-SC
BOM000052,V1.0,Product,P0008,UAV-JF-ENT-SC,Material,M0030,PART-CAM-THERMAL,红外热成像相机,Standard,52,30,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-JF-ENT-SC
BOM000053,V1.0,Product,P0008,UAV-JF-ENT-SC,Material,M0031,PART-CAM-ZOOM-30X,30倍变焦可见光相机,Standard,53,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-JF-ENT-SC
BOM000054,V1.0,Product,P0008,UAV-JF-ENT-SC,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,Standard,54,50,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-SC
BOM000055,V1.0,Product,P0008,UAV-JF-ENT-SC,Material,M0024,ASSY-BAT-DUAL,双电池冗余系统,Standard,55,60,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-JF-ENT-SC
BOM000056,V1.0,Product,P0008,UAV-JF-ENT-SC,Material,M0025,PART-RC-IND,工业遥控器,Standard,56,70,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-JF-ENT-SC
BOM000057,V1.0,Product,P0008,UAV-JF-ENT-SC,Material,M0032,PART-SPOTLIGHT-50W,50W强光照明灯,Standard,57,80,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Professional,否,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-JF-ENT-SC
BOM000058,V1.1,Product,P0009,UAV-BF-IND-H20,Material,M0033,PART-FRAME-HEX-CF,六轴碳纤维机架,Standard,58,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-BF-IND-H20
BOM000059,V1.1,Product,P0009,UAV-BF-IND-H20,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,Standard,59,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-BF-IND-H20
BOM000060,V1.1,Product,P0009,UAV-BF-IND-H20,Material,M0022,PART-CAM-FPV,FPV图传相机,Standard,60,30,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Industrial,否,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-BF-IND-H20
BOM000061,V1.1,Product,P0009,UAV-BF-IND-H20,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,Standard,61,40,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-BF-IND-H20
BOM000062,V1.1,Product,P0009,UAV-BF-IND-H20,Material,M0034,PART-BAT-12S-16000,12S16000mAh工业电池,Standard,62,50,2.0,块,2.0,块,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-BF-IND-H20
BOM000063,V1.1,Product,P0009,UAV-BF-IND-H20,Material,M0025,PART-RC-IND,工业遥控器,Standard,63,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-BF-IND-H20
BOM000064,V1.1,Product,P0009,UAV-BF-IND-H20,Material,M0035,PART-SPRAYER-20L,20升智能喷洒系统,Standard,64,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-BF-IND-H20
BOM000065,V1.1,Product,P0009,UAV-BF-IND-H20,Material,M0027,PART-RADAR-ALT,雷达测高仪,Standard,65,80,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-BF-IND-H20
BOM000066,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0036,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,Standard,66,10,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000067,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,Standard,67,20,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000068,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0022,PART-CAM-FPV,FPV图传相机,Standard,68,30,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Industrial,否,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000069,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0037,PART-MOTOR-5010-PRO,5010重载无刷电机,Standard,69,40,6.0,个,6.0,个,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000070,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0038,PART-ESC-60A,60A电调,Standard,70,41,6.0,个,6.0,个,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.0,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000071,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0039,PART-PROP-3016-CF,3016碳纤螺旋桨,Standard,71,42,6.0,副,12.0,片,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000072,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0040,PART-BAT-12S-22000,12S22000mAh重载电池,Standard,72,50,2.0,块,2.0,块,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.02,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000073,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0025,PART-RC-IND,工业遥控器,Standard,73,60,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.01,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000074,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0041,PART-SPRAYER-30L,30升智能喷洒系统,Standard,74,70,1.0,套,1.0,套,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.02,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000075,V1.1,Product,P0010,UAV-BF-IND-H30,Material,M0027,PART-RADAR-ALT,雷达测高仪,Standard,75,80,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Industrial,是,按订单发料,0.03,System,2024-01-01,Active,0,,UAV-BF-IND-H30
BOM000076,V2.0,Material,M0001,ASSY-BODY-PLA-01,Material,M0042,COMP-FRAME-PLA,塑料机身框架,Standard,76,10,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,否,按工序发料,0.03,System,2024-01-01,Active,0,,ASSY-BODY-PLA-01
BOM000077,V2.0,Material,M0001,ASSY-BODY-PLA-01,Material,M0043,COMP-COVER-PLA-UP,塑料上盖,Standard,77,20,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,否,按工序发料,0.01,System,2024-01-01,Active,0,,ASSY-BODY-PLA-01
BOM000078,V2.0,Material,M0001,ASSY-BODY-PLA-01,Material,M0044,COMP-COVER-PLA-DN,塑料下盖,Standard,78,30,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,否,按工序发料,0.01,System,2024-01-01,Active,0,,ASSY-BODY-PLA-01
BOM000079,V2.0,Material,M0001,ASSY-BODY-PLA-01,Material,M0045,COMP-LG-PLA,塑料起落架,Standard,79,40,4.0,个,4.0,个,1,2024-01-01,9999-12-31,Professional,否,按工序发料,0.03,System,2024-01-01,Active,0,,ASSY-BODY-PLA-01
BOM000080,V2.0,Material,M0001,ASSY-BODY-PLA-01,Material,M0046,PART-SCREW-M3-10,M3x10螺钉,Standard,80,50,24.0,颗,24.0,颗,1,2024-01-01,9999-12-31,Consumer,否,倒冲,0.0,System,2024-01-01,Active,0,,ASSY-BODY-PLA-01
BOM000081,V2.0,Material,M0001,ASSY-BODY-PLA-01,Material,M0047,PART-DAMPER-SOFT,减震球,Standard,81,60,4.0,个,4.0,个,1,2024-01-01,9999-12-31,Industrial,否,倒冲,0.01,System,2024-01-01,Active,0,,ASSY-BODY-PLA-01
BOM000082,V1.0,Material,M0010,ASSY-BODY-CF-01,Material,M0048,COMP-FRAME-CF,碳纤维机身框架,Standard,82,10,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Consumer,否,按工序发料,0.01,System,2024-01-01,Active,0,,ASSY-BODY-CF-01
BOM000083,V1.0,Material,M0010,ASSY-BODY-CF-01,Material,M0049,COMP-ARM-CF-TUBE,碳纤维机臂管,Standard,83,20,4.0,根,4.0,根,1,2024-01-01,9999-12-31,Industrial,否,按工序发料,0.0,System,2024-01-01,Active,0,,ASSY-BODY-CF-01
BOM000084,V1.0,Material,M0010,ASSY-BODY-CF-01,Material,M0050,COMP-MOTOR-MOUNT-AL,铝合金电机座,Standard,84,30,4.0,个,4.0,个,1,2024-01-01,9999-12-31,Professional,否,按工序发料,0.01,System,2024-01-01,Active,0,,ASSY-BODY-CF-01
BOM000085,V1.0,Material,M0010,ASSY-BODY-CF-01,Material,M0051,COMP-LG-CF,碳纤维起落架,Standard,85,40,2.0,套,2.0,套,1,2024-01-01,9999-12-31,Consumer,否,按工序发料,0.0,System,2024-01-01,Active,0,,ASSY-BODY-CF-01
BOM000086,V1.0,Material,M0010,ASSY-BODY-CF-01,Material,M0052,PART-SCREW-M3-12,M3x12螺钉,Standard,86,50,32.0,颗,32.0,颗,1,2024-01-01,9999-12-31,Industrial,否,倒冲,0.03,System,2024-01-01,Active,0,,ASSY-BODY-CF-01
BOM000087,V1.0,Material,M0010,ASSY-BODY-CF-01,Material,M0053,PART-DAMPER-MED,中等硬度减震球,Standard,87,60,4.0,个,4.0,个,1,2024-01-01,9999-12-31,Industrial,否,倒冲,0.03,System,2024-01-01,Active,0,,ASSY-BODY-CF-01
BOM000088,V1.0,Material,M0020,ASSY-BODY-IND-01,Material,M0054,COMP-FRAME-CF-IND,工业级碳纤维框架,Standard,88,10,1.0,个,1.0,个,1,2024-01-01,9999-12-31,Industrial,否,按工序发料,0.03,System,2024-01-01,Active,0,,ASSY-BODY-IND-01
