inventory_id,snapshot_month,item_type,item_id,item_code,item_name,warehouse_id,warehouse_name,batch_number,quantity,unit_price,total_price,earliest_storage_date,max_storage_age,storage_reason,storage_note,consumption_path,created_date,status,movement_type,source_doc_type,source_doc_number,last_update_date,month_end_date,month_end_qty,month_end_variance,shortage_flag
INV0000001,2023-05,Product,P0001,UAV-XF-BASIC,旋风基础版整机,WH001,中央成品仓,FG230501-001,866,38369.77,33228222.98,2023-04-30,1,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,866.0,0,否
INV0000002,2023-05,Product,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,WH001,中央成品仓,FG230501-001,4232,35451.48,150030650.38,2023-04-27,4,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,4231.0,-1,否
INV0000003,2023-05,Product,P0003,UAV-XF-PRO-A,巡风摄影版整机,WH001,中央成品仓,FG230501-001,4926,6430.22,31675266.56,2023-04-17,14,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,4924.0,-2,否
INV0000004,2023-05,Product,P0004,UAV-XF-PRO-B,巡风探索版整机,WH001,中央成品仓,FG230501-001,5974,27740.99,165724662.1,2023-04-23,8,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,5975.0,1,否
INV0000005,2023-05,Product,P0005,UAV-XF-PRO-C,巡风全能版整机,WH001,中央成品仓,FG230501-001,3035,37220.88,112965378.63,2023-04-24,7,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,3038.0,3,否
INV0000006,2026-04,Product,P0006,UAV-JF-ENT-AG,极风农业版整机,WH001,中央成品仓,FG230501-001,4158.0,14919.83,64871412.11,2023-04-17,14,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,OUT,销售出库,SH-202604-0078,2026-04-01,2026-03-31,4157.0,-1,否
INV0000007,2023-05,Product,P0007,UAV-JF-ENT-SV,极风测绘版整机,WH001,中央成品仓,FG230501-001,2739,44118.51,120840611.04,2023-04-05,26,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,2738.0,-1,否
INV0000008,2023-05,Product,P0008,UAV-JF-ENT-SC,极风安防版整机,WH001,中央成品仓,FG230501-001,1039,36416.27,37836507.41,2023-04-25,6,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,,,,,2026-03-31,1036.0,-3,否
INV0000009,2026-05,Product,P0009,UAV-BF-IND-H20,霸风20L植保无人机,WH001,中央成品仓,FG230501-001,2216.0,14689.12,39102435.56,2023-04-26,5,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,OUT,销售出库,SH-202605-0075,2026-05-01,2026-03-31,2216.0,0,否
INV0000010,2026-05,Product,P0010,UAV-BF-IND-H30,霸风30L植保无人机,WH001,中央成品仓,FG230501-001,2696.0,9173.56,29850773.85,2023-04-27,4,生产入库,工序完工-总装线,销售出库,2023-05-31,Active,OUT,销售出库,SH-202605-0077,2026-05-01,2026-03-31,2699.0,3,否
INV0000011,2023-05,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH001,中央成品仓,FG230501-001,-2155.0,20478.01,3092179.13,2023-04-03,28,生产入库,工序完工-机身生产线 欠料,生产领用,2023-05-31,Shortage,OUT,领料出库,REQ-MO202305002-P0002-10,2023-05-09,2026-03-31,-2155.0,0,是
INV0000012,2023-05,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH001,中央成品仓,FG230501-001,-286.0,37837.93,6470286.1,2023-04-29,2,生产入库,工序完工-机身生产线 欠料,生产领用,2023-05-31,Shortage,OUT,领料出库,REQ-MO202305003-P0003-10,2023-05-05,2026-03-31,-283.0,3,是
INV0000013,2023-05,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH001,中央成品仓,FG230501-001,204,22034.05,4494945.58,2023-04-01,30,生产入库,工序完工-机身生产线,生产领用,2023-05-31,Active,,,,,2026-03-31,201.0,-3,否
INV0000014,2023-05,Material,M0002,ASSY-FC-BASIC,基础飞控总成,WH001,中央成品仓,FG230501-001,-2100.0,33288.79,6857490.94,2023-04-04,27,生产入库,工序完工-飞控组装线 欠料,生产领用,2023-05-31,Shortage,OUT,领料出库,REQ-MO202305002-P0002-20,2023-05-09,2026-03-31,-2100.0,0,是
INV0000015,2023-05,Material,M0011,ASSY-FC-ADV,高级飞控总成,WH001,中央成品仓,FG230501-001,-274.0,36705.73,6717149.07,2023-04-24,7,生产入库,工序完工-飞控组装线 欠料,生产领用,2023-05-31,Shortage,OUT,领料出库,REQ-MO202305003-P0003-20,2023-05-05,2026-03-31,-274.0,0,是
INV0000016,2023-05,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,中央成品仓,FG230501-001,145,39788.08,5769270.92,2023-04-23,8,生产入库,工序完工-飞控组装线,生产领用,2023-05-31,Active,,,,,2026-03-31,147.0,2,否
INV0000017,2023-05,Material,M0004,ASSY-PWR-STD,标准动力系统总成,WH001,中央成品仓,FG230501-001,-2048.0,15475.59,3992702.19,2023-04-03,28,生产入库,工序完工-动力总成线 欠料,生产领用,2023-05-31,Shortage,OUT,领料出库,REQ-MO202305002-P0002-40,2023-05-09,2026-03-31,-2048.0,0,是
INV0000018,2023-05,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,中央成品仓,FG230501-001,-305.0,25403.46,3861326.47,2023-04-22,9,生产入库,工序完工-动力总成线 欠料,生产领用,2023-05-31,Shortage,OUT,领料出库,REQ-MO202305003-P0003-40,2023-05-05,2026-03-31,-307.0,-2,是
INV0000019,2023-05,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH001,中央成品仓,FG230501-001,240,21658.14,5197954.44,2023-04-25,6,生产入库,工序完工-动力总成线,生产领用,2023-05-31,Active,,,,,2026-03-31,243.0,3,否
INV0000020,2023-05,Material,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH001,中央成品仓,FG230501-001,165,36581.91,6036015.83,2023-04-22,9,生产入库,工序完工-电池PACK线,生产领用,2023-05-31,Active,,,,,2026-03-31,160.0,-5,否
INV0000021,2023-05,Material,M0019,VIRT-CAM-SEL,相机配置选择件,WH001,中央成品仓,FG230501-001,222,32410.9,7195218.75,2023-04-28,3,生产入库,工序完工-总装线,生产领用,2023-05-31,Active,,,,,2026-03-31,219.0,-3,否
INV0000022,2023-05,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH002,电子材料仓,BN230501-001,3370,4947.72,16673821.52,2023-03-21,41,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3370.0,0,否
INV0000023,2023-05,Material,M0002,ASSY-FC-BASIC,基础飞控总成,WH002,电子材料仓,BN230501-001,3743,1105.88,4139307.78,2023-02-12,78,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3740.0,-3,否
INV0000024,2023-05,Material,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,WH002,电子材料仓,BN230501-001,821,3882.24,3187318.68,2023-01-16,105,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,821.0,0,否
INV0000025,2023-05,Material,M0004,ASSY-PWR-STD,标准动力系统总成,WH002,电子材料仓,BN230501-001,2881,4027.18,11602301.39,2023-04-20,11,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2879.0,-2,否
INV0000026,2023-05,Material,M0005,PART-BAT-2S-3000,标准智能电池2S3000mAh,WH003,配件仓,BN230501-001,-47.0,1062.8,1147828.74,2023-04-16,15,采购入库,PO-202305001 欠料,生产领用,2023-05-31,Shortage,OUT,领料出库,REQ-MO202305001-P0001-50,2023-05-04,2026-03-31,-47.0,0,是
INV0000027,2023-05,Material,M0006,PART-RC-BASIC,基础遥控器,WH003,配件仓,BN230501-001,3253.0,3592.39,15734677.88,2023-01-02,119,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305001-P0001-60,2023-05-04,2026-03-31,3255.0,2,否
INV0000028,2023-05,Material,M0007,PART-CAM-FIX-20MP,2000万像素固定相机,WH002,电子材料仓,BN230501-001,759,1984.2,1506010.22,2023-02-20,70,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,759.0,0,否
INV0000029,2023-05,Material,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,WH003,配件仓,BN230501-001,261.0,722.93,1041018.1,2023-02-25,65,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305002-P0002-50,2023-05-09,2026-03-31,261.0,0,否
INV0000030,2023-05,Material,M0009,PART-RC-ADV,高级遥控器,WH003,配件仓,BN230501-001,1514.0,2811.23,7570634.28,2023-01-19,102,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305002-P0002-60,2023-05-09,2026-03-31,1515.0,1,否
INV0000031,2023-05,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH002,电子材料仓,BN230501-001,2951,2147.88,6338408.04,2023-02-09,81,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2954.0,3,否
INV0000032,2023-05,Material,M0011,ASSY-FC-ADV,高级飞控总成,WH002,电子材料仓,BN230501-001,3625,1104.41,4003488.38,2023-03-09,53,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3630.0,5,否
INV0000033,2023-05,Material,M0012,PART-CAM-GIMBAL-1INCH,1英寸三轴云台相机,WH002,电子材料仓,BN230501-001,1198,2472.64,2962227.53,2023-02-18,72,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,1199.0,1,否
INV0000034,2023-05,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,电子材料仓,BN230501-001,3987,557.15,2221353.7,2023-01-04,117,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3982.0,-5,否
INV0000035,2023-05,Material,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,配件仓,BN230501-001,782.0,3405.6,4219539.96,2023-01-13,108,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305003-P0003-50,2023-05-05,2026-03-31,784.0,2,否
INV0000036,2023-05,Material,M0015,PART-RC-PRO,专业遥控器,WH003,配件仓,BN230501-001,3195.0,1914.28,6990951.44,2023-03-06,56,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305003-P0003-60,2023-05-05,2026-03-31,3200.0,5,否
INV0000037,2023-05,Material,M0016,PART-AVOID-VISION,视觉避障系统,WH002,电子材料仓,BN230501-001,4491,1264.56,5679123.06,2023-02-16,74,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4494.0,3,否
INV0000038,2023-05,Material,M0017,PART-CAM-ZOOM,变焦相机模组,WH002,电子材料仓,BN230501-001,949,3404.61,3230978.89,2023-04-23,8,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,948.0,-1,否
INV0000039,2023-05,Material,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,电子材料仓,BN230501-001,2640,2689.48,7100232.34,2023-01-01,120,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2641.0,1,否
INV0000040,2023-05,Material,M0019,VIRT-CAM-SEL,相机配置选择件,WH002,电子材料仓,BN230501-001,2960,1707.48,5054127.81,2023-02-01,89,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2959.0,-1,否
INV0000041,2023-05,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH002,电子材料仓,BN230501-001,3016,2274.08,6858629.18,2023-04-04,27,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3016.0,0,否
INV0000042,2023-05,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH002,电子材料仓,BN230501-001,4403,3601.21,15856112.39,2023-01-02,119,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4404.0,1,否
INV0000043,2026-05,Material,M0022,PART-CAM-FPV,FPV图传相机,WH002,电子材料仓,BN230501-001,3513.0,901.47,1067343.89,2023-01-17,104,采购入库,PO-202305001,生产领用,2023-05-31,Active,IN,采购入库,PO-202605-0310,2026-05-03,2026-03-31,3515.0,2,否
INV0000044,2026-05,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH002,电子材料仓,BN230501-001,5698.0,3130.25,13510150.22,2023-01-03,118,采购入库,PO-202305001,生产领用,2023-05-31,Active,IN,采购入库,PO-2026B-0355,2026-05-08,2026-03-31,5693.0,-5,否
INV0000045,2023-05,Material,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH003,配件仓,BN230501-001,4167,3048.76,12704188.57,2023-02-19,71,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4169.0,2,否
INV0000046,2023-05,Material,M0025,PART-RC-IND,工业遥控器,WH003,配件仓,BN230501-001,2720,816.13,2219872.75,2023-01-17,104,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2718.0,-2,否
INV0000047,2023-05,Material,M0026,PART-SPRAYER-16L,16升智能喷洒系统,WH003,配件仓,BN230501-001,4402,4593.28,20219629.73,2023-02-16,74,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4402.0,0,否
INV0000048,2026-04,Material,M0027,PART-RADAR-ALT,雷达测高仪,WH002,电子材料仓,BN230501-001,5239.0,107.19,391989.97,2023-02-21,69,采购入库,PO-202305001,生产领用,2023-05-31,Active,IN,采购入库,PO-2026B-0324,2026-04-04,2026-03-31,5238.0,-1,否
INV0000049,2023-05,Material,M0028,PART-CAM-SURVEY-42MP,4200万像素测绘相机,WH002,电子材料仓,BN230501-001,1160,4926.75,5715034.27,2023-01-02,119,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,1160.0,0,否
INV0000050,2023-05,Material,M0029,PART-LIDAR,激光雷达模块,WH002,电子材料仓,BN230501-001,4094,299.05,1224296.7,2023-03-25,37,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4092.0,-2,否
INV0000051,2023-05,Material,M0030,PART-CAM-THERMAL,红外热成像相机,WH002,电子材料仓,BN230501-001,1131,437.41,494711.53,2023-04-14,17,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,1130.0,-1,否
INV0000052,2023-05,Material,M0031,PART-CAM-ZOOM-30X,30倍变焦可见光相机,WH002,电子材料仓,BN230501-001,912,4890.14,4459810.07,2023-04-16,15,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,912.0,0,否
INV0000053,2023-05,Material,M0032,PART-SPOTLIGHT-50W,50W强光照明灯,WH002,电子材料仓,BN230501-001,3518,650.67,2289069.05,2023-04-08,23,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3523.0,5,否
INV0000054,2023-05,Material,M0033,PART-FRAME-HEX-CF,六轴碳纤维机架,WH002,电子材料仓,BN230501-001,3398,833.98,2833876.02,2023-02-13,77,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3398.0,0,否
INV0000055,2023-05,Material,M0034,PART-BAT-12S-16000,12S16000mAh工业电池,WH003,配件仓,BN230501-001,1169,2121.46,2479984.78,2023-02-06,84,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,1171.0,2,否
INV0000056,2023-05,Material,M0035,PART-SPRAYER-20L,20升智能喷洒系统,WH003,配件仓,BN230501-001,2844,3778.77,10746831.35,2023-02-14,76,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2847.0,3,否
INV0000057,2026-04,Material,M0036,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,WH002,电子材料仓,BN230501-001,4355.0,1565.46,6023906.6,2023-01-23,98,采购入库,PO-202305001,生产领用,2023-05-31,Active,IN,采购入库,PO-202604-0279,2026-04-12,2026-03-31,4360.0,5,否
INV0000058,2023-05,Material,M0037,PART-MOTOR-5010-PRO,5010重载无刷电机,WH004,机电仓,BN230501-001,2993,1873.37,5606991.34,2023-01-31,90,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2991.0,-2,否
INV0000059,2023-05,Material,M0038,PART-ESC-60A,60A电调,WH004,机电仓,BN230501-001,4289,613.81,2632635.11,2023-02-26,64,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4289.0,0,否
INV0000060,2023-05,Material,M0039,PART-PROP-3016-CF,3016碳纤螺旋桨,WH004,机电仓,BN230501-001,2871,114.96,330052.91,2023-03-12,50,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2866.0,-5,否
INV0000061,2023-05,Material,M0040,PART-BAT-12S-22000,12S22000mAh重载电池,WH003,配件仓,BN230501-001,1187,1108.88,1316246.2,2023-02-08,82,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,1185.0,-2,否
INV0000062,2023-05,Material,M0041,PART-SPRAYER-30L,30升智能喷洒系统,WH003,配件仓,BN230501-001,2549,303.78,774335.47,2023-02-03,87,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2546.0,-3,否
INV0000063,2023-05,Material,M0042,COMP-FRAME-PLA,塑料机身框架,WH002,电子材料仓,BN230501-001,235.0,4299.58,10925234.42,2023-04-20,11,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305002-M0001,2023-05-08,2026-03-31,235.0,0,否
INV0000064,2023-05,Material,M0043,COMP-COVER-PLA-UP,塑料上盖,WH002,电子材料仓,BN230501-001,242.0,1399.6,3566184.74,2023-03-25,37,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305002-M0001,2023-05-08,2026-03-31,247.0,5,否
INV0000065,2023-05,Material,M0044,COMP-COVER-PLA-DN,塑料下盖,WH002,电子材料仓,BN230501-001,2292.0,670.24,2291537.31,2023-02-14,76,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305001-M0001,2023-05-03,2026-03-31,2290.0,-2,否
INV0000066,2023-05,Material,M0045,COMP-LG-PLA,塑料起落架,WH002,电子材料仓,BN230501-001,-144.0,2885.3,12591432.32,2023-02-10,80,采购入库,PO-202305001 欠料,生产领用,2023-05-31,Shortage,OUT,领料出库,REQ-MO202305001-M0001,2023-05-03,2026-03-31,-142.0,2,是
INV0000067,2023-05,Material,M0046,PART-SCREW-M3-10,M3x10螺钉,WH002,电子材料仓,BN230501-001,2910,4039.41,11754683.15,2023-02-23,67,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2913.0,3,否
INV0000068,2023-05,Material,M0047,PART-DAMPER-SOFT,减震球,WH002,电子材料仓,BN230501-001,2799,3298.32,9232008.65,2023-04-12,19,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2801.0,2,否
INV0000069,2023-05,Material,M0048,COMP-FRAME-CF,碳纤维机身框架,WH002,电子材料仓,BN230501-001,2687.0,2340.45,7358384.53,2023-03-03,59,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305003-M0010,2023-05-04,2026-03-31,2689.0,2,否
INV0000070,2023-05,Material,M0049,COMP-ARM-CF-TUBE,碳纤维机臂管,WH002,电子材料仓,BN230501-001,2103.0,3270.74,12857290.29,2023-01-28,93,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305003-M0010,2023-05-04,2026-03-31,2104.0,1,否
INV0000071,2023-05,Material,M0050,COMP-MOTOR-MOUNT-AL,铝合金电机座,WH004,机电仓,BN230501-001,3756,2019.08,7583665.22,2023-04-17,14,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3756.0,0,否
INV0000072,2023-05,Material,M0051,COMP-LG-CF,碳纤维起落架,WH002,电子材料仓,BN230501-001,3112,555.25,1727945.69,2023-01-04,117,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3112.0,0,否
INV0000073,2023-05,Material,M0052,PART-SCREW-M3-12,M3x12螺钉,WH002,电子材料仓,BN230501-001,2802,2248.58,6300525.65,2023-02-15,75,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2804.0,2,否
INV0000074,2023-05,Material,M0053,PART-DAMPER-MED,中等硬度减震球,WH002,电子材料仓,BN230501-001,3285,2318.51,7616318.69,2023-03-20,42,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3284.0,-1,否
INV0000075,2023-05,Material,M0054,COMP-FRAME-CF-IND,工业级碳纤维框架,WH002,电子材料仓,BN230501-001,4236,2221.22,9409098.16,2023-04-15,16,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4236.0,0,否
INV0000076,2023-05,Material,M0055,COMP-ARM-CF-TUBE-HD,加强型碳纤维机臂,WH002,电子材料仓,BN230501-001,4208,498.56,2097959.64,2023-02-13,77,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4207.0,-1,否
INV0000077,2023-05,Material,M0056,COMP-MOTOR-MOUNT-AL-HD,重载铝合金电机座,WH004,机电仓,BN230501-001,3769,4181.78,15761119.96,2023-02-14,76,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3772.0,3,否
INV0000078,2023-05,Material,M0057,COMP-LG-AL-IND,工业铝合金起落架,WH002,电子材料仓,BN230501-001,4434,4244.99,18822293.26,2023-01-18,103,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,4436.0,2,否
INV0000079,2023-05,Material,M0058,PART-SCREW-M4-16,M4x16螺钉,WH002,电子材料仓,BN230501-001,2749,2411.98,6630528.91,2023-02-21,69,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2754.0,5,否
INV0000080,2026-04,Material,M0059,PART-DAMPER-HARD,硬质减震球,WH002,电子材料仓,BN230501-001,6513.0,831.54,3504937.88,2023-04-17,14,采购入库,PO-202305001,生产领用,2023-05-31,Active,IN,采购入库,PO-2026B-0346,2026-04-03,2026-03-31,6516.0,3,否
INV0000081,2023-05,Material,M0060,COMP-FC-PCB-B1,基础飞控主板,WH002,电子材料仓,BN230501-001,98.0,1333.36,3205405.28,2023-03-06,56,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305002-M0002,2023-05-08,2026-03-31,100.0,2,否
INV0000082,2023-05,Material,M0061,PART-IMU-MPU6050,MPU6050六轴传感器,WH002,电子材料仓,BN230501-001,2919.0,1433.39,5799510.72,2023-02-25,65,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305001-M0002,2023-05-03,2026-03-31,2919.0,0,否
INV0000083,2023-05,Material,M0062,PART-BARO-MS5611,MS5611气压计,WH002,电子材料仓,BN230501-001,2735.0,4977.16,19221788.91,2023-01-21,100,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305001-M0002,2023-05-03,2026-03-31,2740.0,5,否
INV0000084,2023-05,Material,M0063,PART-GNSS-UBLOX-M8N,uBlox M8N GPS模块,WH002,电子材料仓,BN230501-001,3567,2438.49,8698095.06,2023-01-23,98,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3564.0,-3,否
INV0000085,2023-05,Material,M0064,PART-COMPASS-QMC5883,QMC5883电子罗盘,WH002,电子材料仓,BN230501-001,2798,4843.86,13553119.53,2023-03-28,34,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,2793.0,-5,否
INV0000086,2023-05,Material,M0065,COMP-FC-CASE-PLA,飞控塑料外壳,WH002,电子材料仓,BN230501-001,3616,314.18,1136068.67,2023-02-14,76,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3616.0,0,否
INV0000087,2023-05,Material,M0066,COMP-FC-PCB-A1,高级飞控主板,WH002,电子材料仓,BN230501-001,2601.0,2925.05,8944791.27,2023-04-18,13,采购入库,PO-202305001,生产领用,2023-05-31,Active,OUT,领料出库,REQ-MO202305003-M0011,2023-05-04,2026-03-31,2600.0,-1,否
INV0000088,2023-05,Material,M0067,PART-IMU-ICM20689,ICM20689高精度IMU,WH002,电子材料仓,BN230501-001,3455,2660.32,9191403.58,2023-01-05,116,采购入库,PO-202305001,生产领用,2023-05-31,Active,,,,,2026-03-31,3457.0,2,否
